Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
CEUS,Suzana Dragicevic,Board,Female,Canada,1999,Yes,,,,,,,,,,,,,,,,,,,
GA,Suzana Dragicevic,Board,Female,Canada,1999,Yes,,,,,,,,,,,,,,,,,,,
JGS,Suzana Dragicevic,Board,Female,Canada,1999,Yes,,,,,,,,,,,,,,,,,,,
PSP,Yu Zhu,Board,Male,China,1999,No,,,,,,,,,,,,,,,,,,,
CEUS,Theo A. Arentze,Board,Male,Netherlands,1999,No,,,,,,,,,,,,,,,,,,,
JTG,Meleckidzedeck Khayesi,Board,Male,Switzerland,1999,No,,,,,,,,,,,,,,,,,,,
EPB,Richard Harris,Associate Editor,Male,UK,1999,Yes,,,,,,,,,,,,,,,,,,,
GA,Tao Cheng,Board,Female,UK,1999,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Tao Cheng,Board,Female,UK,1999,Yes,,,,,,,,,,,,,,,,,,,
JTG,Jon Shaw,Board,Male,UK,1999,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Tao Cheng,Board,Female,UK,1999,Yes,,,,,,,,,,,,,,,,,,,
GA,Kathleen Stewart,Board,Female,USA,1999,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Kathleen Stewart ,Board,Female,USA,1999,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Tom Cova,Board,Male,USA,1999,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Kathleen Stewart,Board,Female,USA,1999,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Sisi Zlatanova,Board,Female,Australia,2000,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Clodoveu Davis Jr.,Board,Male,Brazil,2000,No,,,,,,,,,,,,,,,,,,,
GA,Antonio Paez,Board,Male,Canada,2000,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Antonio Paez,Board,Male,Canada,2000,Yes,,,,,,,,,,,,,,,,,,,
